algorithm,comparisons,match,wall_sec,qr_file,qr_idx,text_h,text_w
Greedy KMP,3068,"(30, 30)",0.001573,benign_10027.png,34,41,41
Greedy BM,757,"(30, 30)",0.000483,benign_10027.png,34,41,41
Bird-KMP,1297,"(30, 30)",0.002826,benign_10027.png,34,41,41
Bird-BM,264,"(30, 30)",0.002207,benign_10027.png,34,41,41
Naive,2149,"(30, 30)",0.002012,benign_10028.png,35,41,41
Rabin-Karp,1166,"(30, 30)",0.00201,benign_10028.png,35,41,41
Vectorized RK,1166,"(30, 30)",0.001156,benign_10028.png,35,41,41
Greedy KMP,3025,"(30, 30)",0.001445,benign_10028.png,35,41,41
Greedy BM,678,"(30, 30)",0.00044,benign_10028.png,35,41,41
Bird-KMP,1303,"(30, 30)",0.002731,benign_10028.png,35,41,41
Bird-BM,262,"(30, 30)",0.002639,benign_10028.png,35,41,41
Naive,2306,"(30, 30)",0.001839,benign_10029.png,36,41,41
Rabin-Karp,1166,"(30, 30)",0.002066,benign_10029.png,36,41,41
Vectorized RK,1166,"(30, 30)",0.001122,benign_10029.png,36,41,41
Greedy KMP,3133,"(30, 30)",0.00149,benign_10029.png,36,41,41
Greedy BM,748,"(30, 30)",0.000468,benign_10029.png,36,41,41
Bird-KMP,1317,"(30, 30)",0.002475,benign_10029.png,36,41,41
Bird-BM,264,"(30, 30)",0.002627,benign_10029.png,36,41,41
Naive,2223,"(30, 30)",0.002234,benign_1003.png,37,41,41
Rabin-Karp,1166,"(30, 30)",0.002382,benign_1003.png,37,41,41
Vectorized RK,1166,"(30, 30)",0.001167,benign_1003.png,37,41,41
Greedy KMP,3074,"(30, 30)",0.00146,benign_1003.png,37,41,41
Greedy BM,695,"(30, 30)",0.000446,benign_1003.png,37,41,41
Bird-KMP,1307,"(30, 30)",0.002464,benign_1003.png,37,41,41
Bird-BM,270,"(30, 30)",0.002198,benign_1003.png,37,41,41
Naive,2177,"(30, 30)",0.001751,benign_10030.png,38,41,41
Rabin-Karp,1166,"(30, 30)",0.002063,benign_10030.png,38,41,41
Vectorized RK,1166,"(30, 30)",0.001464,benign_10030.png,38,41,41
Greedy KMP,3077,"(30, 30)",0.001466,benign_10030.png,38,41,41
Greedy BM,662,"(30, 30)",0.000433,benign_10030.png,38,41,41
Bird-KMP,1304,"(30, 30)",0.002474,benign_10030.png,38,41,41
Bird-BM,266,"(30, 30)",0.002195,benign_10030.png,38,41,41
Naive,2179,"(30, 30)",0.001756,benign_10031.png,39,41,41
Rabin-Karp,1166,"(30, 30)",0.002152,benign_10031.png,39,41,41
Vectorized RK,1166,"(30, 30)",0.001122,benign_10031.png,39,41,41
Greedy KMP,3068,"(30, 30)",0.001456,benign_10031.png,39,41,41
Greedy BM,682,"(30, 30)",0.000432,benign_10031.png,39,41,41
Bird-KMP,1312,"(30, 30)",0.002971,benign_10031.png,39,41,41
Bird-BM,281,"(30, 30)",0.002308,benign_10031.png,39,41,41
Naive,2229,"(30, 30)",0.001791,benign_10032.png,40,41,41
Rabin-Karp,1166,"(30, 30)",0.002021,benign_10032.png,40,41,41
Vectorized RK,1166,"(30, 30)",0.001123,benign_10032.png,40,41,41
Greedy KMP,3073,"(30, 30)",0.001837,benign_10032.png,40,41,41
Greedy BM,731,"(30, 30)",0.000469,benign_10032.png,40,41,41
Bird-KMP,1309,"(30, 30)",0.002462,benign_10032.png,40,41,41
Bird-BM,257,"(30, 30)",0.002907,benign_10032.png,40,41,41
Naive,2251,"(30, 30)",0.001795,benign_10033.png,41,41,41
Rabin-Karp,1166,"(30, 30)",0.002038,benign_10033.png,41,41,41
Vectorized RK,1166,"(30, 30)",0.001128,benign_10033.png,41,41,41
Greedy KMP,3088,"(30, 30)",0.001471,benign_10033.png,41,41,41
Greedy BM,761,"(30, 30)",0.000477,benign_10033.png,41,41,41
Bird-KMP,1327,"(30, 30)",0.002625,benign_10033.png,41,41,41
Bird-BM,269,"(30, 30)",0.00221,benign_10033.png,41,41,41
Naive,2149,"(30, 30)",0.002152,benign_10034.png,42,41,41
Rabin-Karp,1166,"(30, 30)",0.002062,benign_10034.png,42,41,41
Vectorized RK,1166,"(30, 30)",0.001175,benign_10034.png,42,41,41
Greedy KMP,3037,"(30, 30)",0.001442,benign_10034.png,42,41,41
Greedy BM,701,"(30, 30)",0.000449,benign_10034.png,42,41,41
Bird-KMP,1312,"(30, 30)",0.002458,benign_10034.png,42,41,41
Bird-BM,272,"(30, 30)",0.002399,benign_10034.png,42,41,41
Naive,2140,"(30, 30)",0.001715,benign_10035.png,43,41,41
Rabin-Karp,1166,"(30, 30)",0.002032,benign_10035.png,43,41,41
Vectorized RK,1166,"(30, 30)",0.001481,benign_10035.png,43,41,41
Greedy KMP,3028,"(30, 30)",0.001469,benign_10035.png,43,41,41
Greedy BM,683,"(30, 30)",0.000436,benign_10035.png,43,41,41
Bird-KMP,1306,"(30, 30)",0.002452,benign_10035.png,43,41,41
