algorithm,comparisons,match,wall_sec,pattern_size,text_size,seed
Greedy KMP,1991010,,0.998333,5,1000,2024
Greedy BM,2971568,,1.997617,5,1000,2024
Bird-KMP,14923137,,8.011777,5,1000,2024
Bird-BM,15122343,,7.988824,5,1000,2024
Naive,995997,,1.182187,5,1000,999
Rabin-Karp,992016,,2.904344,5,1000,999
Vectorized RK,992016,,0.885234,5,1000,999
Greedy KMP,1991009,,0.980285,5,1000,999
Greedy BM,498498,,0.516218,5,1000,999
Bird-KMP,8971053,,5.664958,5,1000,999
Bird-BM,9170259,,5.670762,5,1000,999
Naive,416,,0.000419,7,25,42
Rabin-Karp,361,,0.001273,7,25,42
Vectorized RK,361,,0.000779,7,25,42
Greedy KMP,939,,0.000438,7,25,42
Greedy BM,685,,0.000716,7,25,42
Bird-KMP,9189,,0.005086,7,25,42
Bird-BM,9185,,0.004529,7,25,42
Naive,416,,0.000421,7,25,7
Rabin-Karp,361,,0.001281,7,25,7
Vectorized RK,361,,0.000513,7,25,7
Greedy KMP,940,,0.000442,7,25,7
Greedy BM,1000,,0.000613,7,25,7
Bird-KMP,9688,,0.005338,7,25,7
Bird-BM,9684,,0.004787,7,25,7
Naive,436,,0.000413,7,25,123
Rabin-Karp,361,,0.00127,7,25,123
Vectorized RK,361,,0.000508,7,25,123
Greedy KMP,939,,0.000443,7,25,123
Greedy BM,220,,0.000163,7,25,123
Bird-KMP,9544,,0.004703,7,25,123
Bird-BM,9540,,0.005255,7,25,123
Naive,436,,0.000426,7,25,2024
Rabin-Karp,361,,0.001291,7,25,2024
Vectorized RK,361,,0.000531,7,25,2024
Greedy KMP,939,,0.000442,7,25,2024
Greedy BM,1643,,0.000884,7,25,2024
Bird-KMP,5845,,0.003358,7,25,2024
Bird-BM,5841,,0.003307,7,25,2024
Naive,434,,0.000421,7,25,999
Rabin-Karp,361,,0.001263,7,25,999
Vectorized RK,361,,0.000514,7,25,999
Greedy KMP,938,,0.000458,7,25,999
Greedy BM,1000,,0.001336,7,25,999
Bird-KMP,5731,,0.003387,7,25,999
Bird-BM,5727,,0.003262,7,25,999
Naive,2066,,0.002078,7,50,42
Rabin-Karp,1936,,0.005884,7,50,42
Vectorized RK,1936,,0.002976,7,50,42
Greedy KMP,4364,,0.002012,7,50,42
Greedy BM,3785,,0.002476,7,50,42
Bird-KMP,43089,,0.022613,7,50,42
Bird-BM,43368,,0.021939,7,50,42
Naive,2066,,0.002154,7,50,7
Rabin-Karp,1936,,0.006144,7,50,7
Vectorized RK,1936,,0.002304,7,50,7
Greedy KMP,4365,,0.002177,7,50,7
Greedy BM,5612,,0.00367,7,50,7
Bird-KMP,45338,,0.024138,7,50,7
Bird-BM,45617,,0.022753,7,50,7
Naive,2111,,0.002757,7,50,123
Rabin-Karp,1936,,0.005873,7,50,123
Vectorized RK,1936,,0.002186,7,50,123
Greedy KMP,4364,,0.002017,7,50,123
Greedy BM,821,,0.000641,7,50,123
Bird-KMP,45019,,0.025266,7,50,123
Bird-BM,45298,,0.02383,7,50,123
Naive,2111,,0.002127,7,50,2024
Rabin-Karp,1936,,0.006275,7,50,2024
Vectorized RK,1936,,0.002621,7,50,2024
Greedy KMP,4364,,0.002006,7,50,2024
Greedy BM,9299,,0.004955,7,50,2024
Bird-KMP,26520,,0.017004,7,50,2024
Bird-BM,26799,,0.01774,7,50,2024
Naive,2109,,0.002431,7,50,999
Rabin-Karp,1936,,0.008711,7,50,999
Vectorized RK,1936,,0.002601,7,50,999
Greedy KMP,4363,,0.002107,7,50,999
Greedy BM,5612,,0.003494,7,50,999
Bird-KMP,26256,,0.01616,7,50,999
Bird-BM,26535,,0.017979,7,50,999
Naive,9116,,0.009857,7,100,42
Rabin-Karp,8836,,0.026712,7,100,42
Vectorized RK,8836,,0.01057,7,100,42
Greedy KMP,18714,,0.009765,7,100,42
Greedy BM,17485,,0.011846,7,100,42
Bird-KMP,185889,,0.094645,7,100,42
Bird-BM,187032,,0.103913,7,100,42
Naive,9116,,0.010599,7,100,7
Rabin-Karp,8836,,0.027647,7,100,7
Vectorized RK,8836,,0.01118,7,100,7
Greedy KMP,18715,,0.009537,7,100,7
Greedy BM,26087,,0.017154,7,100,7
Bird-KMP,195388,,0.107881,7,100,7
Bird-BM,196531,,0.100009,7,100,7
Naive,9211,,0.009554,7,100,123
Rabin-Karp,8836,,0.027388,7,100,123
Vectorized RK,8836,,0.010178,7,100,123
Greedy KMP,18714,,0.00987,7,100,123
Greedy BM,3445,,0.002735,7,100,123
Bird-KMP,194719,,0.101511,7,100,123
Bird-BM,195862,,0.099263,7,100,123
Naive,9211,,0.009819,7,100,2024
Rabin-Karp,8836,,0.025335,7,100,2024
Vectorized RK,8836,,0.010699,7,100,2024
Greedy KMP,18714,,0.009072,7,100,2024
Greedy BM,43362,,0.0242,7,100,2024
Bird-KMP,112870,,0.069373,7,100,2024
Bird-BM,114013,,0.067082,7,100,2024
Naive,9209,,0.009815,7,100,999
Rabin-Karp,8836,,0.025429,7,100,999
Vectorized RK,8836,,0.0111,7,100,999
Greedy KMP,18713,,0.008894,7,100,999
Greedy BM,26087,,0.01674,7,100,999
Bird-KMP,112306,,0.071998,7,100,999
Bird-BM,113449,,0.067054,7,100,999
Naive,38216,,0.041162,7,200,42
Rabin-Karp,37636,,0.107617,7,200,42
Vectorized RK,37636,,0.045337,7,200,42
Greedy KMP,77414,,0.038056,7,200,42
Greedy BM,74885,,0.052307,7,200,42
Bird-KMP,771489,,0.412926,7,200,42
Bird-BM,776160,,0.419018,7,200,42
Naive,38216,,0.046955,7,200,7
Rabin-Karp,37636,,0.110467,7,200,7
Vectorized RK,37636,,0.046969,7,200,7
Greedy KMP,77415,,0.038593,7,200,7
Greedy BM,112037,,0.076264,7,200,7
Bird-KMP,810488,,0.426175,7,200,7
Bird-BM,815159,,0.470382,7,200,7
Naive,38411,,0.040573,7,200,123
Rabin-Karp,37636,,0.107461,7,200,123
Vectorized RK,37636,,0.045723,7,200,123
Greedy KMP,77414,,0.037902,7,200,123
Greedy BM,13321,,0.010948,7,200,123
Bird-KMP,809119,,0.413316,7,200,123
Bird-BM,813790,,0.4316,7,200,123
Naive,38411,,0.044696,7,200,2024
Rabin-Karp,37636,,0.11343,7,200,2024
Vectorized RK,37636,,0.045853,7,200,2024
Greedy KMP,77414,,0.037959,7,200,2024
Greedy BM,186487,,0.104653,7,200,2024
Bird-KMP,465570,,0.277628,7,200,2024
Bird-BM,470241,,0.281206,7,200,2024
Naive,38409,,0.042047,7,200,999
Rabin-Karp,37636,,0.110191,7,200,999
Vectorized RK,37636,,0.045322,7,200,999
Greedy KMP,77413,,0.038501,7,200,999
Greedy BM,112037,,0.071856,7,200,999
Bird-KMP,464406,,0.280552,7,200,999
Bird-BM,469077,,0.275299,7,200,999
Naive,245516,,0.277217,7,500,42
Rabin-Karp,244036,,0.714417,7,500,42
Vectorized RK,244036,,0.318134,7,500,42
Greedy KMP,493514,,0.254955,7,500,42
Greedy BM,487085,,0.347737,7,500,42
Bird-KMP,4928289,,2.609796,7,500,42
Bird-BM,4961896,,2.61174,7,500,42
Naive,245516,,0.310796,7,500,7
Rabin-Karp,244036,,0.718745,7,500,7
Vectorized RK,244036,,0.33915,7,500,7
Greedy KMP,493515,,0.264033,7,500,7
Greedy BM,729887,,0.489297,7,500,7
Bird-KMP,5175788,,2.700339,7,500,7
Bird-BM,5209395,,2.689978,7,500,7
Naive,246011,,0.277629,7,500,123
Rabin-Karp,244036,,0.70924,7,500,123
Vectorized RK,244036,,0.309765,7,500,123
Greedy KMP,493514,,0.24903,7,500,123
Greedy BM,83321,,0.081544,7,500,123
Bird-KMP,5172319,,2.715116,7,500,123
Bird-BM,5205926,,2.762513,7,500,123
Naive,246011,,0.278845,7,500,2024
Rabin-Karp,244036,,0.692177,7,500,2024
Vectorized RK,244036,,0.296741,7,500,2024
Greedy KMP,493514,,0.24814,7,500,2024
Greedy BM,1215862,,0.725239,7,500,2024
Bird-KMP,2963670,,1.795325,7,500,2024
Bird-BM,2997277,,1.784119,7,500,2024
Naive,246009,,0.282554,7,500,999
Rabin-Karp,244036,,0.713106,7,500,999
Vectorized RK,244036,,0.319158,7,500,999
Greedy KMP,493513,,0.249971,7,500,999
Greedy BM,729887,,0.47618,7,500,999
Bird-KMP,2960706,,1.781019,7,500,999
Bird-BM,2994313,,1.817052,7,500,999
Naive,991016,,1.158731,7,1000,42
Rabin-Karp,988036,,2.999656,7,1000,42
Vectorized RK,988036,,1.420866,7,1000,42
Greedy KMP,1987014,,1.013753,7,1000,42
Greedy BM,1974085,,1.506629,7,1000,42
Bird-KMP,19856289,,10.540143,7,1000,42
Bird-BM,19991488,,10.455903,7,1000,42
Naive,991016,,1.176905,7,1000,7
Rabin-Karp,988036,,2.834652,7,1000,7
Vectorized RK,988036,,1.205904,7,1000,7
Greedy KMP,1987015,,1.00781,7,1000,7
Greedy BM,2959637,,1.985932,7,1000,7
Bird-KMP,20851288,,11.03134,7,1000,7
Bird-BM,20986487,,11.073362,7,1000,7
Naive,992011,,1.167058,7,1000,123
Rabin-Karp,988036,,2.854421,7,1000,123
Vectorized RK,988036,,1.213663,7,1000,123
